Date,GRG.L,JD.L,MAB.L,NXT.L,SMWH.L
2023-02-22,2699.35791015625,179.9539337158203,156.0,6737.5244140625,1657.857421875
2023-02-23,2685.37158203125,182.00343322753906,157.0,6841.42431640625,1581.9097900390625
2023-02-24,2665.391357421875,179.75401306152344,154.39999389648438,6835.4296875,1565.4210205078125
2023-02-27,2713.343994140625,179.75401306152344,161.1999969482422,6873.39404296875,1593.4017333984375
2023-02-28,2709.34814453125,181.0536651611328,162.5,6835.4296875,1578.911865234375
2023-03-01,2743.31494140625,179.75401306152344,163.60000610351562,6883.3837890625,1582.9091796875
2023-03-02,2731.326416015625,180.9536895751953,159.89999389648438,6845.42041015625,1552.9296875
2023-03-03,2713.343994140625,181.75347900390625,157.3000030517578,6891.37548828125,1575.4141845703125
2023-03-06,2747.31103515625,180.50381469726562,162.10000610351562,7069.205078125,1606.892578125
2023-03-07,2687.36962890625,181.0536651611328,167.1999969482422,7031.24169921875,1595.4005126953125
2023-03-08,2693.36376953125,179.40408325195312,163.89999389648438,7033.23974609375,1592.402587890625
2023-03-09,2709.34814453125,179.15414428710938,165.1999969482422,7043.22998046875,1601.396484375
2023-03-10,2657.39892578125,173.60556030273438,161.6999969482422,6961.30908203125,1542.43701171875
2023-03-13,2573.48095703125,166.30743408203125,157.3000030517578,6813.45068359375,1496.9683837890625
2023-03-14,2617.438232421875,168.65682983398438,165.10000610351562,6901.3662109375,1511.9578857421875
2023-03-15,2535.5185546875,161.8585662841797,151.5,6651.6064453125,1461.4925537109375
2023-03-16,2597.45751953125,166.65733337402344,155.10000610351562,6745.5166015625,1474.9833984375
2023-03-17,2535.5185546875,162.2584686279297,154.5,6571.68310546875,1403.032958984375
2023-03-20,2551.50244140625,164.30796813964844,154.6999969482422,6631.62646484375,1426.017333984375
2023-03-21,2635.42041015625,169.75656127929688,161.60000610351562,6855.40966796875,1464.4906005859375
2023-03-22,2665.391357421875,172.1559295654297,158.5,6813.45068359375,1469.4874267578125
2023-03-23,2679.37744140625,171.00624084472656,159.5,6797.46630859375,1443.0054931640625
2023-03-24,2629.42626953125,163.9080352783203,160.1999969482422,6687.57177734375,1425.017822265625
2023-03-27,2675.381103515625,166.1074981689453,161.8000030517578,6673.58544921875,1423.0191650390625
2023-03-28,2703.353759765625,167.7070770263672,161.0,6719.54150390625,1420.5208740234375
2023-03-29,2741.316650390625,168.15695190429688,162.1999969482422,6427.82177734375,1448.001953125
2023-03-30,2793.265625,175.35513305664062,163.60000610351562,6533.71923828125,1481.9786376953125
2023-03-31,2771.287353515625,177.70452880859375,164.5,6565.68896484375,1493.970458984375
2023-04-03,2751.30712890625,174.1054229736328,162.89999389648438,6445.80419921875,1490.972412109375
2023-04-04,2757.301025390625,171.906005859375,164.8000030517578,6455.794921875,1474.9833984375
2023-04-05,2709.34814453125,167.00726318359375,157.60000610351562,6343.9033203125,1439.00830078125
2023-04-06,2755.30322265625,166.0075225830078,160.3000030517578,6371.87548828125,1483.97705078125
2023-04-11,2769.289306640625,168.65682983398438,164.0,6445.80419921875,1484.9765625
2023-04-12,2761.297119140625,167.50714111328125,162.10000610351562,6443.806640625,1510.9588623046875
2023-04-13,2777.281494140625,166.2574462890625,163.10000610351562,6471.77880859375,1541.937255859375
2023-04-14,2789.269775390625,166.50738525390625,164.1999969482422,6557.697265625,1553.9290771484375
2023-04-17,2805.254150390625,166.30743408203125,165.60000610351562,6517.73583984375,1558.925537109375
2023-04-18,2769.289306640625,166.55738830566406,169.3000030517578,6599.65673828125,1615.88623046875
2023-04-19,2785.273681640625,163.55813598632812,169.39999389648438,6527.72509765625,1622.8814697265625
2023-04-20,2769.289306640625,164.20797729492188,167.10000610351562,6633.6240234375,1594.900634765625
2023-04-21,2807.252197265625,165.25770568847656,169.39999389648438,6787.4755859375,1614.8870849609375
2023-04-24,2811.248291015625,167.60708618164062,166.6999969482422,6865.4013671875,1573.915283203125
2023-04-25,2811.248291015625,166.0075225830078,165.39999389648438,6769.494140625,1536.940673828125
2023-04-26,2831.228759765625,162.5084228515625,167.39999389648438,6781.4814453125,1518.953125
2023-04-27,2797.6962890625,159.80911254882812,169.89999389648438,6785.47802734375,1544.935302734375
2023-04-28,2815.681640625,161.00880432128906,175.10000610351562,6733.52734375,1572.9158935546875
2023-05-02,2843.65869140625,162.05853271484375,176.39999389648438,6595.66064453125,1591.90283203125
2023-05-03,2877.630615234375,162.95828247070312,174.6999969482422,6507.74462890625,1613.8876953125
2023-05-04,2853.650390625,159.80911254882812,174.3000030517578,6715.544921875,1601.8958740234375
2023-05-05,2899.612548828125,162.60836791992188,178.1999969482422,6793.47021484375,1621.8822021484375
2023-05-09,2901.61083984375,164.50790405273438,180.8000030517578,6783.4794921875,1630.8758544921875
2023-05-10,2851.65185546875,164.35794067382812,189.5,6801.46240234375,1640.8690185546875
2023-05-11,2863.64208984375,168.55686950683594,193.10000610351562,6845.42041015625,1631.8753662109375
2023-05-12,2849.653564453125,173.20565795898438,196.5,6811.45263671875,1630.8758544921875
2023-05-15,2841.66015625,174.55532836914062,195.0,6807.45654296875,1658.856689453125
2023-05-16,2749.736083984375,170.20645141601562,195.10000610351562,6735.5263671875,1655.8587646484375
2023-05-17,2777.712890625,162.95828247070312,199.10000610351562,6643.61474609375,1642.86767578125
2023-05-18,2759.727783203125,172.60581970214844,208.39999389648438,6687.57177734375,1663.853271484375
2023-05-19,2741.742431640625,159.2092742919922,208.0,6587.66796875,1647.8643798828125
2023-05-22,2711.76708984375,160.35894775390625,209.8000030517578,6633.6240234375,1648.8636474609375
2023-05-23,2683.7900390625,155.91009521484375,207.1999969482422,6547.70654296875,1657.857421875
2023-05-24,2651.81640625,150.41151428222656,206.8000030517578,6441.80810546875,1591.90283203125
2023-05-25,2655.81298828125,148.61196899414062,207.1999969482422,6413.8349609375,1579.9110107421875
2023-05-26,2669.802001953125,150.96136474609375,207.8000030517578,6393.85400390625,1520.9517822265625
2023-05-30,2665.80517578125,153.41073608398438,201.8000030517578,6373.87353515625,1526.9476318359375
2023-05-31,2683.7900390625,151.9611053466797,204.60000610351562,6339.90625,1568.918701171875
2023-06-01,2711.76708984375,152.31103515625,206.1999969482422,6397.8505859375,1594.900634765625
2023-06-02,2755.731201171875,156.85984802246094,209.39999389648438,6495.7568359375,1641.868408203125
2023-06-05,2725.755615234375,154.96034240722656,212.8000030517578,6443.806640625,1602.8953857421875
2023-06-06,2733.748779296875,154.81039428710938,214.0,6475.77587890625,1604.893798828125
2023-06-07,2689.785400390625,153.86062622070312,214.0,6519.7333984375,1604.893798828125
2023-06-08,2691.78369140625,150.96136474609375,217.60000610351562,6485.76611328125,1607.891845703125
2023-06-09,2679.79345703125,148.61196899414062,216.0,6427.82177734375,1617.8848876953125
2023-06-12,2701.775390625,148.91188049316406,217.1999969482422,6473.77734375,1625.8795166015625
2023-06-13,2747.73779296875,148.31202697753906,220.60000610351562,6483.76806640625,1644.8662109375
2023-06-14,2727.753662109375,148.21206665039062,215.0,6445.80419921875,1636.871826171875
2023-06-15,2713.765380859375,147.2623291015625,204.8000030517578,6433.8154296875,1632.874755859375
2023-06-16,2677.795166015625,149.0618438720703,210.0,6431.81787109375,1626.8787841796875
2023-06-19,2635.82958984375,148.3620147705078,211.0,6735.5263671875,1607.891845703125
2023-06-20,2591.8662109375,147.2623291015625,216.60000610351562,6693.56591796875,1616.8856201171875
2023-06-21,2557.893798828125,146.36253356933594,218.0,6677.58203125,1571.916748046875
2023-06-22,2507.93505859375,149.71170043945312,215.60000610351562,6667.59130859375,1551.930419921875
2023-06-23,2513.93017578125,143.76321411132812,203.8000030517578,6605.650390625,1515.9552001953125
2023-06-26,2513.93017578125,146.5625,203.60000610351562,6699.56005859375,1504.962646484375
2023-06-27,2581.8740234375,142.56350708007812,203.0,6803.4609375,1509.9593505859375
